,value,region,datetime,prediction
0,26.0,1075,2016-06-01 00:00:00,17.042110282466545
1,14.0,1075,2016-06-01 01:00:00,7.5631805984952445
2,5.0,1075,2016-06-01 02:00:00,6.028012844958638
3,2.0,1075,2016-06-01 03:00:00,5.016544920046723
4,1.0,1075,2016-06-01 04:00:00,10.564124555916996
5,7.0,1075,2016-06-01 05:00:00,24.88731863629829
6,23.0,1075,2016-06-01 06:00:00,46.43194949532086
7,34.0,1075,2016-06-01 07:00:00,73.81803449892233
8,72.0,1075,2016-06-01 08:00:00,67.72206049230644
9,54.0,1075,2016-06-01 09:00:00,59.722624937874315
10,51.0,1075,2016-06-01 10:00:00,74.72020254376609
11,83.0,1075,2016-06-01 11:00:00,97.6871126497005
12,70.0,1075,2016-06-01 12:00:00,93.48872793725036
13,100.0,1075,2016-06-01 13:00:00,109.77174289145654
14,119.0,1075,2016-06-01 14:00:00,109.0841760594717
15,88.0,1075,2016-06-01 15:00:00,74.0935482497455
16,75.0,1075,2016-06-01 16:00:00,91.36545947304579
17,84.0,1075,2016-06-01 17:00:00,106.25227187026621
18,122.0,1075,2016-06-01 18:00:00,116.63392536367279
19,106.0,1075,2016-06-01 19:00:00,113.60821142028077
20,105.0,1075,2016-06-01 20:00:00,123.05887350301664
21,135.0,1075,2016-06-01 21:00:00,119.66330865830379
22,86.0,1075,2016-06-01 22:00:00,76.12507145491185
23,62.0,1075,2016-06-01 23:00:00,52.160760569627314
24,35.0,1075,2016-06-02 00:00:00,29.221779859950015
25,18.0,1075,2016-06-02 01:00:00,12.351213309161626
26,7.0,1075,2016-06-02 02:00:00,5.865315664741049
27,5.0,1075,2016-06-02 03:00:00,7.149778922478572
28,3.0,1075,2016-06-02 04:00:00,11.576994039794574
29,10.0,1075,2016-06-02 05:00:00,29.609378348832568
30,18.0,1075,2016-06-02 06:00:00,43.259751240256044
31,65.0,1075,2016-06-02 07:00:00,86.82080133354181
32,71.0,1075,2016-06-02 08:00:00,72.21247676924041
33,68.0,1075,2016-06-02 09:00:00,70.10322921055565
34,63.0,1075,2016-06-02 10:00:00,81.68870139083705
35,85.0,1075,2016-06-02 11:00:00,96.51744540150507
36,84.0,1075,2016-06-02 12:00:00,92.88617055099708
37,88.0,1075,2016-06-02 13:00:00,100.52288340562431
38,106.0,1075,2016-06-02 14:00:00,92.70707427435944
39,86.0,1075,2016-06-02 15:00:00,73.95945917988256
40,69.0,1075,2016-06-02 16:00:00,86.31937089171741
41,86.0,1075,2016-06-02 17:00:00,104.1783301847178
42,108.0,1075,2016-06-02 18:00:00,106.13054773783531
43,113.0,1075,2016-06-02 19:00:00,105.35773403686527
44,123.0,1075,2016-06-02 20:00:00,136.84064445910542
45,138.0,1075,2016-06-02 21:00:00,119.0809286726207
46,108.0,1075,2016-06-02 22:00:00,87.33337471694725
47,76.0,1075,2016-06-02 23:00:00,54.946771250392
48,53.0,1075,2016-06-03 00:00:00,33.52182911832796
49,14.0,1075,2016-06-03 01:00:00,10.310815249076724
50,16.0,1075,2016-06-03 02:00:00,12.05507971663662
51,13.0,1075,2016-06-03 03:00:00,10.552926525887793
52,7.0,1075,2016-06-03 04:00:00,11.884091440703395
53,11.0,1075,2016-06-03 05:00:00,28.043541995897268
54,27.0,1075,2016-06-03 06:00:00,48.00008011888978
55,46.0,1075,2016-06-03 07:00:00,72.16233080676051
56,95.0,1075,2016-06-03 08:00:00,79.81710162971684
57,69.0,1075,2016-06-03 09:00:00,66.63999837857332
58,62.0,1075,2016-06-03 10:00:00,80.70889099602468
59,87.0,1075,2016-06-03 11:00:00,103.29465327982487
60,99.0,1075,2016-06-03 12:00:00,106.97852462159595
61,99.0,1075,2016-06-03 13:00:00,109.03312961814402
62,111.0,1075,2016-06-03 14:00:00,99.036047478928
63,100.0,1075,2016-06-03 15:00:00,91.19259279568985
64,72.0,1075,2016-06-03 16:00:00,90.136855049413
65,95.0,1075,2016-06-03 17:00:00,103.56331713697507
66,108.0,1075,2016-06-03 18:00:00,109.06063173879627
67,110.0,1075,2016-06-03 19:00:00,99.31264257795021
68,88.0,1075,2016-06-03 20:00:00,96.18722747685626
69,121.0,1075,2016-06-03 21:00:00,98.22525970362408
70,86.0,1075,2016-06-03 22:00:00,71.8601175977406
71,97.0,1075,2016-06-03 23:00:00,65.56712838178046
72,74.0,1075,2016-06-04 00:00:00,38.11315638749317
73,44.0,1075,2016-06-04 01:00:00,27.863765055320226
74,34.0,1075,2016-06-04 02:00:00,19.708134221462604
75,16.0,1075,2016-06-04 03:00:00,12.814276188413956
76,8.0,1075,2016-06-04 04:00:00,11.647379270404064
77,11.0,1075,2016-06-04 05:00:00,22.703552857972163
78,24.0,1075,2016-06-04 06:00:00,36.904489345582846
79,32.0,1075,2016-06-04 07:00:00,53.62722265221797
80,26.0,1075,2016-06-04 08:00:00,41.416570885595775
81,50.0,1075,2016-06-04 09:00:00,59.95566056828615
82,62.0,1075,2016-06-04 10:00:00,93.18151150757673
83,86.0,1075,2016-06-04 11:00:00,113.02012106317328
84,97.0,1075,2016-06-04 12:00:00,129.31397279004318
85,166.0,1075,2016-06-04 13:00:00,167.45077105165353
86,167.0,1075,2016-06-04 14:00:00,151.07970231319598
87,157.0,1075,2016-06-04 15:00:00,144.5601848349153
88,161.0,1075,2016-06-04 16:00:00,160.6593007304565
89,161.0,1075,2016-06-04 17:00:00,160.6092105302256
90,134.0,1075,2016-06-04 18:00:00,126.47158176906866
91,106.0,1075,2016-06-04 19:00:00,97.86480912731764
92,108.0,1075,2016-06-04 20:00:00,111.29283667472818
93,139.0,1075,2016-06-04 21:00:00,105.5618950269548
94,120.0,1075,2016-06-04 22:00:00,94.58932715442567
95,120.0,1075,2016-06-04 23:00:00,80.85888909262702
96,74.0,1075,2016-06-05 00:00:00,42.819209390889604
97,46.0,1075,2016-06-05 01:00:00,30.648903854634533
98,19.0,1075,2016-06-05 02:00:00,12.053142848825226
99,15.0,1075,2016-06-05 03:00:00,11.613469669549813
100,17.0,1075,2016-06-05 04:00:00,13.150113482794133
101,8.0,1075,2016-06-05 05:00:00,16.634172293954265
102,11.0,1075,2016-06-05 06:00:00,24.877456098803105
103,19.0,1075,2016-06-05 07:00:00,35.246960743027465
104,24.0,1075,2016-06-05 08:00:00,30.722866142117383
105,28.0,1075,2016-06-05 09:00:00,46.10198387326207
106,59.0,1075,2016-06-05 10:00:00,87.83560964158264
107,95.0,1075,2016-06-05 11:00:00,116.20039987202595
108,75.0,1075,2016-06-05 12:00:00,122.1453969625424
109,76.0,1075,2016-06-05 13:00:00,116.0347083703313
110,67.0,1075,2016-06-05 14:00:00,110.70303022212427
111,82.0,1075,2016-06-05 15:00:00,103.42156709929992
112,67.0,1075,2016-06-05 16:00:00,113.78120736540166
113,91.0,1075,2016-06-05 17:00:00,115.13987574605663
114,81.0,1075,2016-06-05 18:00:00,84.7578145970768
115,65.0,1075,2016-06-05 19:00:00,73.7866807022128
